rental_id;customer_id;car_type;rental_start_date;rental_end_date;rental_location;daily_rate;customer_age;customer_gender;weather;customer_membership;rental_duration_days;total_rental_cost;holiday_season;weekday_rental;total_rental_days;is_weekend_rental;customer_loyalty;car_age;promotion_applied;rental_purpose
91274;1684;Hatchback;2023-04-11;2022-01-17;Szczecin;90;65,00;Female;Sunny;Platinum;22;1970,98;PRAWDA;PRAWDA;-449;FA£SZ;VIP;5;FA£SZ;Leisure
31926;1559;SUV;2023-07-30;2024-04-01;Kraków;51;20,00;Male;Snowy;Gold;6;305,64;FA£SZ;FA£SZ;246;PRAWDA;Returning;8;FA£SZ;Leisure
21346;1629;Convertible;2020-05-05;2020-05-12;Kraków;83;65,00;Male;Snowy;Silver;12;1001,64;FA£SZ;PRAWDA;7;FA£SZ;Returning;4;PRAWDA;Other
75028;1192;Hatchback;2022-03-15;2023-08-23;Szczecin;44;42,00;Female;Snowy;Silver;0;0;PRAWDA;PRAWDA;526;FA£SZ;VIP;3;FA£SZ;Business
89806;1835;Convertible;2024-05-07;2020-06-27;Bydgoszcz;98;44,00;Male;Sunny;None;7;686,07;PRAWDA;PRAWDA;-1410;FA£SZ;New;2;FA£SZ;Business
35846;1763;SUV;2024-02-18;2022-11-26;Gdañsk;50;40,00;Male;Sunny;None;13;645,97;PRAWDA;FA£SZ;-449;PRAWDA;VIP;5;FA£SZ;Other
36079;1707;Hatchback;2023-06-12;2024-04-10;Lublin;62;20,00;Female;Snowy;Gold;28;1729,56;FA£SZ;PRAWDA;303;FA£SZ;New;2;FA£SZ;Other
12964;1359;Hatchback;2022-07-31;2020-07-09;Lublin;43;48,00;Male;Rainy;Silver;18;776,34;PRAWDA;FA£SZ;-752;PRAWDA;VIP;9;PRAWDA;Leisure
24210;1009;SUV;2024-01-20;2023-03-01;Kraków;62;59,00;Female;Cloudy;Platinum;21;1309,98;PRAWDA;FA£SZ;-325;PRAWDA;Returning;3;FA£SZ;Leisure
54453;1723;SUV;2023-01-17;2020-11-06;Bydgoszcz;87;54,00;Male;Sunny;None;28;2437,12;FA£SZ;PRAWDA;-802;FA£SZ;New;4;FA£SZ;Other
69576;1277;SUV;2021-11-09;2022-04-07;Gdañsk;80;58,00;Female;Sunny;Platinum;28;2241,12;PRAWDA;PRAWDA;149;FA£SZ;New;2;PRAWDA;Business
50236;1754;Convertible;2024-04-17;2020-01-09;Poznañ;62;30,00;Female;Sunny;Platinum;7;433,02;FA£SZ;PRAWDA;-1560;FA£SZ;New;1;PRAWDA;Other
